fecha,cartera_total,cartera_vencida,deuda,patrimonio,intereses_cartera_total,intereses_deuda,vehiculos_mensuales_estimados,ebt
2014-06-30,922129247290.0,70567737910.0,707264738500.0,245190620620.0,10246665640.0,3112372530.0,25676.73271676628,1268833270.0
2014-07-31,921699096060.0,63814004970.0,707851345850.0,245423302390.0,10641268530.0,3478016090.0,27383.26765158715,980295880.0
2014-08-31,954314795020.0,63697320170.0,719626733880.0,246763693080.0,10763625270.0,3526025360.0,26130.751569305066,1632140190.0
2014-09-30,992180904280.0,63027000110.0,751466407210.0,248242329530.0,11177862770.0,3562922500.0,25746.59925160758,2303235620.0
2014-10-31,1013032759660.0,63560594000.0,782047974060.0,249551089600.0,11566778420.0,3973441520.0,26568.403774083086,2139838140.0
2014-11-30,1066370859570.0,65634933510.0,813559138620.0,250167929250.0,11824976430.0,3930241390.0,27963.972401140938,1254705630.0
2014-12-31,1082007977980.0,67800151520.0,921370318380.0,210531884000.0,12501933010.0,4680345920.0,32688.909873447494,1906631960.0
2015-01-31,1022686913030.0,68832606380.0,899567856760.0,210198661700.0,12261479470.0,4940994950.0,21045.072605261237,1372405400.0
2015-02-28,1099746452100.0,71930617950.0,899901123920.0,218649949090.0,12624979150.0,4584031490.0,21609.79216559742,2368977900.0
2015-03-31,1120311473060.0,71879253020.0,895276170640.0,219628167520.0,13111333840.0,4939788340.0,21944.979875790305,1448925720.0
2015-04-30,1166913028990.0,73030704260.0,936848996310.0,220275742880.0,13224678190.0,4868865670.0,22440.48792690523,708452080.0
2015-05-31,1172381529190.0,75407413750.0,1039576610010.0,220950581440.0,13610531170.0,5283353600.0,22383.123658536777,1219241660.0
2015-06-30,1169783410640.0,92211945580.0,1055800782100.0,221259684570.0,13713305790.0,5547816840.0,22644.192055027837,895059870.0
2015-07-31,1219831768870.0,89872188150.0,1029108864450.0,222210819640.0,13946761710.0,5639030600.0,24020.44789184851,1744541320.0
2015-08-31,1229818065020.0,94579020930.0,1027471261790.0,222766956840.0,14723956680.0,5607910920.0,22991.799603559615,895342870.0
2015-09-30,1261734965950.0,92405682210.0,1055407212920.0,223032833710.0,13915169820.0,5453776500.0,22508.81257057562,915177230.0
2015-10-31,1273185011950.0,94040013310.0,1093611685460.0,223489649960.0,14727939200.000015,6026764870.0,23247.320715248246,718171670.0
2015-11-30,1330874718550.0,93989319620.0,1120639541230.0,223855511870.0,14453124959.999985,5909195180.0,24460.825009389926,933539750.0
2015-12-31,1356517097410.0,79945057060.0,1169951391810.0,224383247230.0,15854751220.0,6588458360.0,28819.14592225928,992009070.0
2016-01-31,1324332598529.0,83894142962.0,1141472418305.0,224935866661.0,15326315028.0,6868725705.0,19070.23282279743,1072047336.0
2016-02-29,1345871494125.0,84920659739.0,1187164838162.0,225437126494.0,14832856028.0,6796132537.0,19779.664300184893,933444755.0
2016-03-31,1342561697140.0,86136418159.0,1181686680134.0,226100569402.0,17823480039.0,8051607621.0,19605.957369281157,1235461654.0
2016-04-30,1345377086506.0,82916994617.0,1217890124454.0,226463102030.0,16640154646.0,8192220473.0,20302.25778949414,632146447.0
2016-05-31,1331466885448.0,85103589615.0,1227807609712.0,227017122543.0,17918607750.0,8720584343.0,19808.00037090236,1031695551.0
2016-06-30,1329460796899.0,87943038799.0,1186934518428.0,227549607507.0,17104585359.0,8618298320.0,20293.831217197818,986144481.0
2016-07-31,1285324765260.0,87534473819.0,1203110665212.0,227993945194.0,17688528394.0,9423612146.0,21022.628360541516,709970135.0
2016-08-31,1256342989715.0,87914278716.0,1162494236413.0,228485027587.0,17483191242.0,9380989883.0,20754.75677839862,1037414331.0
2016-09-30,1267875218024.0,88424992344.0,1099080339986.0,228785363556.0,16724936692.0,8708429499.0,20279.200520445902,553183178.0
